,Mamelodi Sundowns,Orlando Pirates,Sekhukhune United,Polokwane City,Amazulu,TS Galaxy,Kaizer Chiefs,Stellenbosch,Chippa United,Golden Arrows,Siwelele,Richards Bay,Marumo Gallants,Magesi,Durban City,Orbit College
Mamelodi Sundowns,0,37,148,148,329,170,36,794,499,322,265,313,265,148,329,62
Orlando Pirates,37,0,185,185,312,194,3,758,466,305,227,307,227,185,310,58
Sekhukhune United,148,185,0,0,417,140,184,940,632,413,413,368,413,0,421,185
Polokwane City,148,185,0,0,417,140,184,940,632,413,413,368,413,0,421,185
Amazulu,329,312,417,417,0,300,309,768,286,8,292,97,292,417,10,369
TS Galaxy,170,194,140,140,300,0,191,929,550,298,385,236,385,140,306,231
Kaizer Chiefs,36,3,184,184,309,191,0,760,466,303,229,303,229,184,308,61
Stellenbosch,794,758,940,940,768,929,760,0,525,762,544,856,544,940,757,758
Chippa United,499,466,632,632,286,550,466,525,0,283,282,383,282,632,276,507
Golden Arrows,322,305,413,413,8,298,303,762,283,0,284,100,284,413,8,362
Siwelele,265,227,413,413,292,385,229,544,282,284,0,353,0,413,284,249
Richards Bay,313,307,368,368,97,236,303,856,383,100,353,0,353,368,107,365
Marumo Gallants,265,227,413,413,292,385,229,544,282,284,0,353,0,413,284,249
Magesi,148,185,0,0,417,140,184,940,632,413,413,368,413,0,421,185
Durban City,329,310,421,421,10,306,308,757,276,8,284,107,284,421,0,368
Orbit College,62,58,185,185,369,231,61,758,507,362,249,365,249,185,368,0
