,Real Madrid,Barcelona,Atl Madrid,Girona,Sociedad,Ath Bilbao,Real Betis,Villarreal,Sevilla,Valencia,Celta Vigo,Alaves,Getafe,Mallorca,Osasuna,Vallecano,Espanyol,Elche,Levante,Oviedo
Real Madrid,0,312,4,355,215,197,246,192,244,189,289,173,8,340,193,3,307,221,188,230
Barcelona,312,0,308,53,250,292,515,153,514,185,565,268,315,124,218,312,4,261,185,433
Atl Madrid,4,308,0,351,214,198,248,188,246,184,294,173,9,335,192,4,303,217,183,233
Girona,355,53,351,0,261,307,566,207,565,239,594,287,359,163,235,355,57,314,238,453
Sociedad,215,250,214,261,0,49,461,251,459,277,352,47,224,350,38,218,247,354,275,196
Ath Bilbao,197,292,198,307,49,0,437,272,435,294,303,32,206,384,73,201,289,365,292,147
Real Betis,246,515,248,566,461,437,0,364,1,338,365,417,238,491,440,244,511,297,338,414
Villarreal,192,153,188,207,251,272,364,0,363,35,477,240,192,147,212,191,150,119,33,380
Sevilla,244,514,246,565,459,435,1,363,0,336,364,415,236,490,438,242,510,296,337,412
Valencia,189,185,184,239,277,294,338,35,336,0,477,262,187,159,238,187,182,84,1,392
Celta Vigo,289,565,294,594,352,303,365,477,364,477,0,312,292,621,364,291,561,506,476,166
Alaves,173,268,173,287,47,32,417,240,415,262,312,0,182,356,52,176,265,333,260,165
Getafe,8,315,9,359,224,206,238,192,236,187,292,182,0,340,201,5,311,216,186,237
Mallorca,340,124,335,163,350,384,491,147,490,159,621,356,340,0,313,338,124,199,160,511
Osasuna,193,218,192,235,38,73,440,212,438,238,364,52,201,313,0,196,215,316,237,217
Vallecano,3,312,4,355,218,201,244,191,242,187,291,176,5,338,196,0,307,218,186,233
Espanyol,307,4,303,57,247,289,511,150,510,182,561,265,311,124,215,307,0,257,181,429
Elche,221,261,217,314,354,365,297,119,296,84,506,333,216,199,316,218,257,0,86,444
Levante,188,185,183,238,275,292,338,33,337,1,476,260,186,160,237,186,181,86,0,390
Oviedo,230,433,233,453,196,147,414,380,412,392,166,165,237,511,217,233,429,444,390,0
