,Man City,Arsenal,Liverpool,Chelsea,Tottenham,Newcastle,Man Utd,Aston Villa,Brighton,West Ham,Crystal Palace,Brentford,Fulham,Bournemouth,Everton,Wolves,Nottm Forest,Leeds,Burnley,Sunderland
Man City,0,159,31,162,158,105,4,68,202,162,169,159,162,190,31,61,58,32,21,104
Arsenal,159,0,176,6,3,244,160,100,47,4,10,8,7,94,177,112,105,165,178,238
Liverpool,31,176,0,178,175,119,27,77,215,180,185,175,177,192,0,67,82,61,38,120
Chelsea,162,6,178,0,10,248,163,101,43,8,7,4,1,88,178,112,108,169,181,242
Tottenham,158,3,175,10,0,241,159,99,51,5,14,12,11,97,176,111,102,163,176,235
Newcastle,105,244,119,248,241,0,108,170,291,246,255,247,248,293,119,166,142,82,85,10
Man Utd,4,160,27,163,159,108,0,68,202,164,170,160,162,189,27,60,60,36,22,106
Aston Villa,68,100,77,101,99,170,68,0,137,104,108,97,100,122,78,11,43,88,89,167
Brighton,202,47,215,43,51,291,202,137,0,46,37,44,42,77,216,148,150,211,221,285
West Ham,162,4,180,8,5,246,164,104,46,0,10,12,9,96,180,115,107,168,181,240
Crystal Palace,169,10,185,7,14,255,170,108,37,10,0,10,7,89,186,120,115,176,188,249
Brentford,159,8,175,4,12,247,160,97,44,12,10,0,3,85,175,109,106,166,178,240
Fulham,162,7,177,1,11,248,162,100,42,9,7,3,0,87,178,112,108,169,180,242
Bournemouth,190,94,192,88,97,293,189,122,77,96,89,85,87,0,192,128,155,210,211,289
Everton,31,177,0,178,176,119,27,78,216,180,186,175,178,192,0,68,83,61,38,120
Wolves,61,112,67,112,111,166,60,11,148,115,120,109,112,128,68,0,48,85,82,163
Nottm Forest,58,105,82,108,102,142,60,43,150,107,115,106,108,155,83,48,0,60,74,136
Leeds,32,165,61,169,163,82,36,88,211,168,176,166,169,210,61,85,60,0,26,78
Burnley,21,178,38,181,176,85,22,89,221,181,188,178,180,211,38,82,74,26,0,84
Sunderland,104,238,120,242,235,10,106,167,285,240,249,240,242,289,120,163,136,78,84,0
