,Date,Home Team,Away Team,HST_Exp,AST_Exp,TST_Exp
0,23-11-24 12:30,Leicester,Chelsea,3.52,5.9,9.42
1,23-11-24 15:00,Bournemouth,Brighton,5.03,4.32,9.35
2,23-11-24 15:00,Fulham,Wolves,6.11,3.54,9.65
3,23-11-24 15:00,Arsenal,Nottm Forest,6.45,2.67,9.12
4,23-11-24 15:00,Everton,Brentford,4.78,4.16,8.94
5,23-11-24 15:00,Aston Villa,Crystal Palace,5.72,3.47,9.19
6,23-11-24 17:30,Man City,Tottenham,6.5,3.7,10.2
7,24-11-24 14:00,Southampton,Liverpool,2.88,6.7,9.58
8,24-11-24 16:30,Ipswich,Man Utd,3.6,5.67,9.27
9,25-11-24 20:00,Newcastle,West Ham,6.0,3.46,9.46
